Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
https://accessibility.civicactions.com/assets/css/uswds-theme.css,text/css; charset=utf-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,46793,46793,0,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.058,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/assets/css/uswds-theme.css,2024-01-03 17:41:12
https://accessibility.civicactions.com/assets/img/ca-logo.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,8821,8821,0,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.051,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/ca-logo.png,2024-01-03 17:40:58
https://accessibility.civicactions.com/assets/img/cards/card-drupal.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,73373,73373,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.052,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/cards/card-drupal.png,2024-01-03 17:41:22
https://accessibility.civicactions.com/assets/img/cards/card-uswds.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,79161,79161,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.149,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/cards/card-uswds.png,2024-01-03 17:41:12
https://accessibility.civicactions.com/assets/img/circles/circle-aperture.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,30466,30466,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.053,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/circles/circle-aperture.png,2024-01-03 17:41:05
https://accessibility.civicactions.com/assets/img/circles/circle-lightbulb.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,22499,22499,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.048,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/circles/circle-lightbulb.png,2024-01-03 17:40:55
https://accessibility.civicactions.com/assets/img/circles/cpu.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,15571,15571,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.05,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/circles/cpu.png,2024-01-03 17:41:04
https://accessibility.civicactions.com/assets/img/circles/git-pull-request.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,20540,20540,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.053,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/circles/git-pull-request.png,2024-01-03 17:41:06
https://accessibility.civicactions.com/assets/img/github-action-steps.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,60513,60513,0,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.155,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/github-action-steps.png,2024-01-03 17:46:10
https://accessibility.civicactions.com/assets/img/github-actions-comment-in-pull-request.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,137789,137789,0,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.157,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/github-actions-comment-in-pull-request.png,2024-01-03 17:46:18
https://accessibility.civicactions.com/assets/img/hard-to-read-sentence-warning.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,66757,66757,0,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.144,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/hard-to-read-sentence-warning.png,2024-01-03 17:46:44
https://accessibility.civicactions.com/assets/img/heart.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,130461,130461,0,,,,,0,4,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.172,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/heart.png,2024-01-03 17:47:09
